rec_id,label,EDA,PPG
006-easy,,283,383
006-easy,,285,380
006-easy,,287,379
006-easy,,288,378
006-easy,,292,383
006-easy,,297,383
006-easy,,302,379
006-easy,,306,379
006-easy,,313,378
006-easy,,320,382
006-easy,,330,382
006-easy,,339,379
006-easy,,349,378
006-easy,,358,380
006-easy,,370,383
006-easy,,383,381
006-easy,,394,380
006-easy,,406,379
006-easy,,419,379
006-easy,,431,383
006-easy,,443,382
006-easy,,455,379
006-easy,,466,379
006-easy,,474,381
006-easy,,485,385
006-easy,,494,382
006-easy,,501,380
006-easy,,507,380
006-easy,,512,381
006-easy,,518,384
006-easy,,521,382
006-easy,,524,380
006-easy,,526,379
006-easy,,525,383
006-easy,,524,385
006-easy,,525,382
006-easy,,522,379
006-easy,,519,380
006-easy,,514,383
006-easy,,511,384
006-easy,,505,381
006-easy,,499,381
006-easy,,493,380
006-easy,,484,384
006-easy,,478,385
006-easy,,471,381
006-easy,,463,379
006-easy,,454,381
006-easy,,446,385
006-easy,,439,384
006-easy,,431,381
006-easy,,422,381
006-easy,,414,381
006-easy,,405,385
006-easy,,398,384
006-easy,,390,382
006-easy,,382,380
006-easy,,374,380
006-easy,,366,385
006-easy,,359,384
006-easy,,352,381
006-easy,,345,380
006-easy,,337,382
006-easy,,334,384
006-easy,,327,384
006-easy,,322,380
006-easy,,317,380
006-easy,,314,382
006-easy,,311,386
006-easy,,310,382
006-easy,,308,381
006-easy,,305,380
006-easy,,303,383
006-easy,,305,385
006-easy,,304,382
006-easy,,303,381
006-easy,,304,379
006-easy,,304,383
006-easy,,306,385
006-easy,,306,382
006-easy,,309,380
006-easy,,309,380
006-easy,,311,384
006-easy,,313,385
006-easy,,315,381
006-easy,,316,381
006-easy,,319,380
006-easy,,318,384
006-easy,,323,384
006-easy,,324,381
006-easy,,325,380
006-easy,,325,380
006-easy,,328,384
006-easy,,330,384
006-easy,,331,381
006-easy,,331,380
006-easy,,331,380
006-easy,,332,385
006-easy,,334,384
006-easy,,332,381
006-easy,,332,380
006-easy,,331,381
006-easy,,329,384
006-easy,,330,384
006-easy,,329,380
006-easy,,327,380
006-easy,,324,382
006-easy,,323,385
006-easy,,323,383
006-easy,,320,381
006-easy,,317,380
006-easy,,315,382
006-easy,,313,385
006-easy,,312,383
006-easy,,311,380
006-easy,,307,380
006-easy,,305,382
006-easy,,303,385
006-easy,,302,383
006-easy,,300,381
006-easy,,299,380
006-easy,,296,383
006-easy,,295,384
006-easy,,294,382
006-easy,,293,379
006-easy,,290,381
006-easy,,289,382
006-easy,,288,385
006-easy,,287,381
006-easy,,286,380
006-easy,,284,380
006-easy,,282,384
006-easy,,281,384
006-easy,,282,381
006-easy,,281,380
006-easy,,279,381
006-easy,,278,383
006-easy,,279,384
006-easy,,277,380
006-easy,,276,380
006-easy,,277,380
006-easy,,275,385
006-easy,,276,383
006-easy,,275,381
006-easy,,275,379
006-easy,,275,381
006-easy,,273,385
006-easy,,275,383
006-easy,,272,381
006-easy,,273,380
006-easy,,272,381
006-easy,,272,385
006-easy,,273,384
006-easy,,273,380
006-easy,,274,381
006-easy,,275,381
006-easy,,276,386
006-easy,,277,383
006-easy,,277,381
006-easy,,278,379
006-easy,,278,383
006-easy,,278,386
006-easy,,279,383
006-easy,,277,380
006-easy,,277,381
006-easy,,278,383
006-easy,,278,385
006-easy,,279,381
006-easy,,278,381
006-easy,,278,381
006-easy,,279,383
006-easy,,280,385
006-easy,,280,382
006-easy,,279,380
006-easy,,280,380
006-easy,,278,385
006-easy,,280,385
006-easy,,280,381
006-easy,,279,380
006-easy,,278,381
006-easy,,279,384
006-easy,,279,384
006-easy,,278,382
006-easy,,278,381
006-easy,,278,380
006-easy,,277,384
006-easy,,278,385
006-easy,,278,381
006-easy,,278,380
006-easy,,276,381
006-easy,,277,385
006-easy,,277,383
006-easy,,276,382
006-easy,,276,381
006-easy,,275,381
006-easy,,276,386
006-easy,,276,384
006-easy,,277,380
006-easy,,275,381
006-easy,,275,383
006-easy,,277,385
006-easy,,277,383
006-easy,,279,381
006-easy,,281,381
006-easy,,282,382
006-easy,,285,387
006-easy,,291,384
006-easy,,296,380
006-easy,,301,380
006-easy,,306,384
006-easy,,315,386
006-easy,,324,382
006-easy,,332,382
006-easy,,343,381
006-easy,,352,384
006-easy,,363,386
006-easy,,375,383
006-easy,,386,381
006-easy,,397,381
006-easy,,406,386
006-easy,,419,386
006-easy,,429,382
006-easy,,440,382
006-easy,,449,382
006-easy,,459,386
006-easy,,468,386
006-easy,,477,383
006-easy,,482,382
006-easy,,489,382
006-easy,,493,387
006-easy,,499,386
006-easy,,501,383
006-easy,,504,381
006-easy,,504,383
006-easy,,505,387
006-easy,,504,386
006-easy,,504,383
006-easy,,500,383
006-easy,,497,383
006-easy,,494,388
006-easy,,491,386
006-easy,,485,384
006-easy,,479,382
006-easy,,473,385
006-easy,,465,389
006-easy,,460,386
006-easy,,451,383
006-easy,,444,383
006-easy,,434,385
006-easy,,427,388
006-easy,,419,386
006-easy,,411,383
006-easy,,403,383
006-easy,,393,387
006-easy,,385,388
006-easy,,377,385
006-easy,,369,382
006-easy,,361,383
006-easy,,353,386
006-easy,,346,387
006-easy,,340,385
006-easy,,333,383
006-easy,,326,382
006-easy,,319,387
006-easy,,315,387
006-easy,,311,384
006-easy,,305,383
006-easy,,302,383
006-easy,,298,386
006-easy,,295,387
006-easy,,294,384
006-easy,,292,382
006-easy,,290,383
006-easy,,289,387
006-easy,,291,386
006-easy,,290,383
006-easy,,292,383
006-easy,,293,382
006-easy,,295,388
006-easy,,298,386
006-easy,,299,382
006-easy,,301,383
006-easy,,304,384
006-easy,,307,387
006-easy,,310,386
006-easy,,313,383
006-easy,,315,383
006-easy,,318,385
006-easy,,321,387
006-easy,,323,386
006-easy,,325,384
006-easy,,325,383
006-easy,,327,385
006-easy,,330,386
006-easy,,331,384
006-easy,,330,383
006-easy,,333,383
006-easy,,333,385
006-easy,,333,388
006-easy,,334,385
006-easy,,334,383
006-easy,,333,383
006-easy,,333,386
006-easy,,332,388
006-easy,,332,384
006-easy,,330,383
006-easy,,328,382
006-easy,,326,387
006-easy,,325,386
006-easy,,323,384
006-easy,,320,384
006-easy,,319,382
006-easy,,315,387
006-easy,,315,387
006-easy,,311,385
006-easy,,309,382
006-easy,,305,384
006-easy,,304,388
006-easy,,302,387
006-easy,,299,384
006-easy,,297,383
006-easy,,293,384
006-easy,,293,388
006-easy,,292,387
006-easy,,290,383
006-easy,,286,384
006-easy,,285,383
006-easy,,283,389
006-easy,,284,386
006-easy,,283,384
006-easy,,279,384
006-easy,,279,383
006-easy,,278,389
006-easy,,278,386
006-easy,,277,384
006-easy,,276,382
006-easy,,274,385
006-easy,,274,387
006-easy,,274,386
006-easy,,274,382
006-easy,,272,383
006-easy,,271,386
006-easy,,273,387
006-easy,,273,384
006-easy,,272,383
006-easy,,272,383
006-easy,,272,386
006-easy,,273,387
006-easy,,274,385
006-easy,,274,382
006-easy,,274,383
006-easy,,272,387
006-easy,,275,387
006-easy,,274,383
006-easy,,275,383
006-easy,,275,383
006-easy,,275,386
006-easy,,275,387
006-easy,,277,383
006-easy,,276,383
006-easy,,276,383
006-easy,,275,387
006-easy,,275,386
006-easy,,276,383
006-easy,,276,383
006-easy,,277,382
006-easy,,276,387
006-easy,,277,385
006-easy,,277,383
006-easy,,279,382
006-easy,,279,384
006-easy,,278,388
006-easy,,280,385
006-easy,,278,383
006-easy,,281,382
006-easy,,280,385
006-easy,,280,387
006-easy,,281,385
006-easy,,280,383
006-easy,,281,382
006-easy,,279,385
006-easy,,280,388
006-easy,,279,385
006-easy,,279,382
006-easy,,279,382
006-easy,,278,386
006-easy,,278,387
006-easy,,279,385
006-easy,,277,383
006-easy,,278,382
006-easy,,276,386
006-easy,,277,386
006-easy,,276,385
006-easy,,275,382
006-easy,,274,383
006-easy,,273,385
006-easy,,273,387
006-easy,,272,384
006-easy,,272,382
006-easy,,271,383
006-easy,,272,387
006-easy,,272,387
006-easy,,272,384
006-easy,,274,382
006-easy,,274,382
006-easy,,277,386
006-easy,,280,386
006-easy,,284,383
006-easy,,288,382
006-easy,,293,383
006-easy,,299,387
006-easy,,307,386
006-easy,,315,382
006-easy,,322,383
006-easy,,332,384
006-easy,,343,387
006-easy,,354,386
006-easy,,365,383
006-easy,,377,382
006-easy,,388,385
006-easy,,401,388
006-easy,,412,386
006-easy,,425,384
006-easy,,436,382
006-easy,,446,386
006-easy,,457,388
006-easy,,468,385
006-easy,,475,384
006-easy,,484,383
006-easy,,490,386
006-easy,,497,389
006-easy,,504,385
006-easy,,507,383
006-easy,,510,384
006-easy,,513,387
006-easy,,514,388
006-easy,,514,386
006-easy,,514,384
006-easy,,512,382
006-easy,,509,388
006-easy,,506,388
006-easy,,501,385
006-easy,,495,384
006-easy,,490,384
006-easy,,482,388
006-easy,,478,388
006-easy,,471,384
006-easy,,463,384
006-easy,,456,384
006-easy,,447,388
006-easy,,440,388
006-easy,,432,384
006-easy,,424,384
006-easy,,415,385
006-easy,,408,388
006-easy,,400,387
006-easy,,391,385
006-easy,,383,384
006-easy,,374,385
006-easy,,365,389
006-easy,,360,386
006-easy,,352,385
006-easy,,344,384
006-easy,,337,384
006-easy,,331,389
006-easy,,326,386
006-easy,,321,384
006-easy,,315,384
006-easy,,309,386
006-easy,,306,389
006-easy,,303,386
006-easy,,301,384
006-easy,,296,383
006-easy,,295,385
006-easy,,293,389
006-easy,,293,385
006-easy,,292,384
006-easy,,293,383
006-easy,,293,387
006-easy,,292,388
006-easy,,295,384
006-easy,,296,384
006-easy,,299,382
006-easy,,300,387
006-easy,,304,387
006-easy,,306,385
006-easy,,309,383
006-easy,,311,383
006-easy,,313,388
006-easy,,317,387
006-easy,,319,384
006-easy,,323,382
006-easy,,324,383
006-easy,,328,387
006-easy,,330,386
006-easy,,332,384
006-easy,,334,382
006-easy,,334,384
006-easy,,334,388
006-easy,,338,386
006-easy,,337,384
006-easy,,337,383
006-easy,,336,383
006-easy,,335,388
006-easy,,336,386
006-easy,,334,383
006-easy,,333,383
006-easy,,331,384
006-easy,,329,388
006-easy,,329,385
006-easy,,326,384
006-easy,,323,383
006-easy,,321,384
006-easy,,318,388
006-easy,,318,385
006-easy,,315,382
006-easy,,313,383
006-easy,,311,386
006-easy,,309,387
006-easy,,306,385
006-easy,,305,383
006-easy,,302,382
006-easy,,299,387
006-easy,,298,386
006-easy,,296,384
006-easy,,294,383
006-easy,,291,382
006-easy,,288,386
006-easy,,287,387
006-easy,,285,384
006-easy,,283,383
006-easy,,282,383
006-easy,,280,387
006-easy,,279,387
006-easy,,277,384
006-easy,,277,382
006-easy,,274,383
006-easy,,275,387
006-easy,,275,387
006-easy,,274,383
006-easy,,273,383
006-easy,,274,382
006-easy,,274,388
006-easy,,272,386
006-easy,,273,384
006-easy,,273,383
006-easy,,274,383
006-easy,,273,388
006-easy,,275,385
006-easy,,274,384
006-easy,,273,381
006-easy,,274,385
006-easy,,274,388
006-easy,,275,385
006-easy,,273,384
006-easy,,275,382
006-easy,,273,386
006-easy,,276,387
006-easy,,275,386
006-easy,,276,383
006-easy,,276,383
006-easy,,275,385
006-easy,,275,388
006-easy,,277,384
006-easy,,276,383
006-easy,,275,383
006-easy,,275,386
006-easy,,276,387
006-easy,,277,384
006-easy,,276,384
006-easy,,276,383
006-easy,,275,385
006-easy,,276,387
006-easy,,277,384
006-easy,,277,383
006-easy,,275,383
006-easy,,277,387
006-easy,,278,387
006-easy,,279,383
006-easy,,278,383
006-easy,,279,382
006-easy,,279,387
006-easy,,279,387
006-easy,,280,384
006-easy,,279,383
006-easy,,279,384
006-easy,,280,388
006-easy,,280,387
006-easy,,281,383
006-easy,,280,383
006-easy,,279,385
006-easy,,279,388
006-easy,,279,386
006-easy,,280,383
006-easy,,277,383
006-easy,,277,385
006-easy,,278,388
006-easy,,279,384
006-easy,,278,384
006-easy,,278,383
006-easy,,278,385
006-easy,,278,388
006-easy,,279,385
006-easy,,280,382
006-easy,,282,383
006-easy,,283,386
006-easy,,287,387
006-easy,,291,384
006-easy,,295,383
006-easy,,300,383
006-easy,,306,387
006-easy,,311,388
006-easy,,321,384
006-easy,,328,383
006-easy,,338,383
006-easy,,345,387
